CURRENT FUNDS - ANTICIPATED REVENUES I,"",ANTICIPATED |,BUDGETED |,REALIZED 
I,"",................................... I ,"",""
GENERAL REVENUES| ,FCOA,* CY 2013 * |,* CY 2012 * |,* CY 2012* 
............. I,..............,---------------------------I,................................................ I ,""
(3.) MISCELLANEOUS REVENUE - SECTION A: LOCAL REVENUES| ,xxxxxxxxx ,[x x x x x x x x x x x x x x x x x x x x ,XXXXXXXXXXXXXXXXXXXXXXXXX I ,x x x x x x x x x x x x x x x x x x x x x x 
j ,xxxxxxxxx,XXXXXXXXXXXXXXXXXXXXI,XXXXXXXXXXXXXXXXXXXXXXXXX I ,x x x x x x x x x x x x x x x x x x x x x x 
--__-- _-_--_-_I,________,"",_ —_--- _ -- _--_--_--- _-- _-- _— _ ________I I ,""
FEES & PERMITS:I ,xxxxxxxxx,x x x x x x x x x x x x x x x x x x x x j,XXXXXXXXXXXXXXXXXXXXXXXXX I ,xxxxxxxxxxxxxxxxxxxxxx 
"","","",_____________ __________I ,""
Interest & Cost on Taxes| ,08-111,"1,069,926 I","850,000 I","1,069,926 "
"","","",............................................I ,""
Interest on Investments & Deposits| ,08-112,"228,019 |","294,640 | ","252,475 "
"","","",_ ________________i ,""
Assessor Application Fees[ ,08-125 ,"63,609 |","87,064 |","63,609 "
............. i ,.............. .,"",.................................................................I ,""
Sewer & Street Opening Permits| ,08-127,"260,000 |","249,084 |","281,013 "
.............I,.................,................................................I,...................................... ................I,""
Swimming Pool Fees| ,08-129,"88,946 |","110,000 I","88,946 "
"","",..............................................I ,. __________,""
Skating Rink Fees| ,08-130,"61,148 j","44,395 j","61,148 "
"","","",............................................. ,""
Laundry Licenses| ,08-131,"23,365 |","14,500 |","23,365 "
............. I ,.................,.................................I ,"",""
Vending Machine Licensess,08-132,"21,752 |","33,537 | ","21,752 "
"","",----- ----------------------I,_____________________ | ,""
Food Establishment Licenses| ,08-133,"267,420 |","270,865 j","267,420 "
"","",......................................I,_ __________________ ,""
Hotel/Motel Licenses| ,08-156,"78,185 |","78,302 |","78,185 "
"","",.................................... I ,"",""
Dine & Dance Permitsj ,08-138,"29,216 |","15,900 |","29,216 "
"","",......................................I,______________________I,""
Police Reports ID Bureau Fees| ,08-135,"119,746 |","126,946 I","119,746 "
"","",..................................... I ,"",""
Hack (Taxicabs & Omnibus) Licenses| ,08-140,"269,955 I","244,680 |","269,955 "
"","",------------------------- I,_________ ________ ,""
Elevator Inspection Fees| ,08-139,"627,560 |","725,000 j","627,560 "
"","",—................................ I ,"",""
Site Plan Review Feess,08-145,"600,000 |","338,621 |","788,768 "
"","",....................................I,___________,""
Bingo & Raffle Licenses| ,08-142,"17,710 I","20,140 j","17,710 "
------------------—--------- i | ,____ ,"","",""
I,"",I ,I ,""
i,"",j ,I ,""
-----------------------------------------------------------------------------------------------------------------------------------1,---------------,-------------------------------| ,------------------------------------------1,----------------------------- 
07/17/13,SHEET 4A,"","",""
