CURRENT FUNDS - ANTICIPATED REVENUES |,"",ANTICIPATED ,|,BUDGETED |,REALIZED ,| 
I ,"","","","","",""
GENERAL REVENUES j ,FCOA,* CY 2013 * ,|,* CY 2012 * j,* CY 2012 * ,| 
---------------------------------------------------------------------------------------------------------| ------------,"",..................................................I ,"","","",""
(3.) MISCELLANEOUS REVENUE - SECTION A: LOCAL REVENUES | ,xxxxxxxxx,XXXXXXXXXXXXXXXXXXXXI,"",xxxxxxxxxxxxxxxxxxxxxxxxx j,xxxxxxxxxxxxxxxxxxxxxx ,j 
| ,xxxxxxxxx,XXXXXXXXXXXXXXXXXXXXI,"",xxxxxxxxxxxxxxxxxxxxxxxxx ],XXXXXXXXXXXXXXXXXXXXXX ,I 
"","","","",...............................................................I ,"",""
Mechanical Amusement Devices | ,08-660,"15,600 ",I,"20,550 |","15,600 ",| 
---------------------------------------------------------------------------------------------------------I ------------,"","","",...............................................................I ,"",""
Parking Lot Licenses j ,08-143,"400,000 ",|,"348,155 |","426,964 ",i 
---------------------------------------------------------------------------------------------------------I ------------,"","","","","",""
"","","","",.................................................................I ,"",""
Used Motor Vehicle Dealer Licenses | ,08-661,"88,117 ",|,"97,100 j","88,117 ",| 
---------------------------------------------------------------------------------------------------------[ ------------,"",------------------------------- ,I ,"","",""
Parking Lot Tax | ,08-136,"7,315,000 ",j,"7,315,000 |","7,550,797 ",| 
"","","","",..... i ,"",""
"","",................................................,i ,............................................................... i ,"",i 
"","","",I ,I ,"",I 
"","","",i ,................. i ,___________________ ,i 
Municipal Court Fines | ,08-108,"10,707,267 ",|,"11,300,000 | ","10,707,267 ",j 
"","","","",i ,"",""
"","","",I ,I ,"",I 
"","",-------------------------------,! ,"","",""
Interstate Waste | ,08-170,"350,000 ",|,"490,000 |","523,975 ",| 
---------------------------------------------------------------------------------------------------------| ----------,"",I ,"",________________________,"",""
"","",................................................ ,"","","",""
Secure Buidlings | ,08-116,"8,859 ",|,"22,085 |","8,859 ",| 
---------------------------------------------------------------------------------------------------------I ----------,"",—............................................. ,I ,"","",""
PILOT - County Service Charge j ,08-246,0 ,I,"27,000 [",0 ,I 
"","","","",I ,"",""
Dumpster Fee j ,08-624,"35,695 ",|,"50,056 | ","35,695 ",| 
---------------------------------------------------------------------------------------------------------| ----------,"","","",_____________________i ,"",""
Certified Copies Marriage Licenses | ,08-180,"42,305 ",|,"40,725 |","42,305 ",| 
--------------------------------------------------------------------------------------------------------- ! ,----------,------------------------------- ,I ,"","",""
Zoning Permits & Ordinance Copies | ,08-181,"140,487 ",|,"125,059 |","140,487 ",] 
--------------------------------------------------------------------------------------------------------- I ,----------,"","",_______________ ______ ,"",""
Reimbursement for Damaged Property | ,08-183,"50,000 ",j,"54,642 j","289,923 ",| 
--------------------------------------------------------------------------------------------------------- j ,----------,"","",.................................................................I ,"",""
Death Certificates | ,08-182,"85,855 ",|,"91,515 |","86,385 ",| 
"","",-------------------------------,I ,"","",""
Vacant Property Registration | ,08-184,"214,501 ",|,"123,220 |","214,501 ",i 
"","","","",________________________ ,"",""
Private Police Duty Administration Fees j,"","1,000,000 ",|,"1,000,000 I","1,000,000 ",| 
"","",..............................i ,"",.......... .. .. .. .. .. .. .. .. .. .. .. .. .. .. .......—Ii ,"",i 
I,"","",I ,I ,"",i 
"","","",i ,"","",""
"","",................................................ i,"",.. ................ .. .. .. .. .. .. .. .. .. ....... ..........i I ,___________________,i
TOTAL SECTION A: LOCAL REVENUES i ,08,"38,785,238 ",j,"37,954,396 |","39,045,906 ",| 
07/17/13 ,SHEET 4B,"","","","",""
