"","","","","",| ,CY 2012 By | ,Total CY 2012 ,| ,"",I ,""
"(A.) OPERATIONS within ""CAPS""","",FCOA,CY 2013*,* CY 2012,j ,Emerg. Approp. j,Modified By Trans. ,|,Paid or Charged ,|,Reserved j 
"","","","","",i ,-------------------1,-----------------,t,"",ii ,i 
RISK MANAGEMENT,"",20-109,"","",I,I,"",1,"",I,I 
"","","","","",i ,............................ i ,"","","","",""
294 - Salaries & Wages,"",20-109-1,"241,270","241,270",1,1,"241,270 ",j,"232,835 ",|,"8,435 | "
"","","","","",j ,------------------------- j,"","",..................................... ,"",. 
295 - Other Expenses,"",20-109-2,"4,525","4,525",1,1,"4,525 ",j,"3,194 ",| ,"1,331 | "
"","","","","",i ,............................. i ,..................... ..........,i,"",ii ,i 
INFORMATION TECHNOLOGY,"",20-140,"","",I,I,"",1,"",I,I
"","","","","",i i ,.............................i i ,"",i ,"",i ,__________i
298 - Salaries & Wages,"",20-140-1,"950,600","950,600",1,1,"950,600 ",|,"923,335 ",|,"27,265 | "
"","","","","","","","","",................................... ,"",. 
299 - Other Expenses,"",20-140-2,"1,080,000","887,000",1,1,"887,000 ",|,"886,712 ------------------------- I |","",. 288 | 
MUNICIPAL COURT,"",43-490,"","",1,1,"","","",I ,""
"","","","","",1,...............................1 ,"","","","",""
2280 - Salaries & Wages,"",43-490-1,"3,586,202","3,480,000",1,1,"3,480,000 ",j,"3,425,103 ",|,"54,897 | "
"","","","","",1,------------------------- j,"","",.....................................,"",. 
2281 - Other Expenses,"",43-490-2,"204,850","196,200",1,1,"196,200 ",|,"142,801 ",|,"53,399 | "
"","","","","",1,............................ 1 ,"","","","",""
PUBLIC DEFENDER,"",43-495,"","",1,1,"","","",I ,""
"","","","","","","","","",.................................... ,i ,""
A282 - Salaries & Wages,"",43-495-1,"86,000","92,000",1,1,"92,000 ",|,"83,101 ",|,"8,899 | "
"","","","","",1,............................ 1 ,"","","","",""
A283 - Other Expenses,"",43-495-2,"257,400","256,700",1,1,"256,700 ",|,"241,404 ",j,"15,296 | "
COLLECTIONS,"","","","",I,I,"",1,"",I,I
"","","","","",i i ,...............................ii ,"",i ,"",i ,_________________i 
310 - Salaries & Wages,"",20-145,"847,000","762,339",1,1,"762,339 ",|,"740,732 ",|,"21,607 | "
"","","","","",1,...............................1,"","",__________________ ,"",""
311 - Other Expenses,"",20-145,"211,850","194,950",1,1,"174,950 ",|,"115,798 ",|,"59,152 | "
"",07/17/13,"","","","",SHEET 14,"","","","",""
